first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jaylin,Richardson,16,44,2.8,0,,,,,,3,30,10.0,1
Jackson,Compton,5,32,6.4,0,15,27,139,2,0,,,,
Reed,Styer,2,18,9.0,0,5,7,52,0,0,,,,
Parkees,Harris,3,18,6.0,0,,,,,,,,,
Daniel,Hornacek,3,15,5.0,0,,,,,,2,23,11.5,0
Drew,Enke,,,,,,,,,,5,66,13.2,0
Julius,Reynolds,,,,,,,,,,2,25,12.5,0
Carter,Ryan,,,,,,,,,,2,18,9.0,1
Peter,Udoibok,,,,,,,,,,1,14,14.0,0
EJ,Stoffel,,,,,,,,,,1,7,7.0,0
Ricky,Dixon,,,,,,,,,,2,5,2.5,0
Russell,Corrigan,,,,,,,,,,2,3,1.5,0
Jay,Hardy,,,,,,,,,,0,0,0.0,0
