first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jarod,Epperson,18,52,2.9,1,,,,,,2,8,4.0,0
Max,Grand,7,32,4.6,1,,,,,,1,5,5.0,0
Gunnar,Hensley,5,23,4.6,0,22,27,291,2,0,,,,
Sam,Scholten,1,12,12.0,0,,,,,,,,,
Ryan,Kenny,1,2,2.0,0,,,,,,1,9,9.0,0
Rashad,Lampkin,1,2,2.0,0,,,,,,1,-3,-3.0,0
Evan,Bearth,,,,,1,1,9,0,0,,,,
Jack,Fisher,,,,,,,,,,8,148,18.5,1
Isaiah,Huber,,,,,,,,,,4,70,17.5,1
Austin,Johnston,,,,,,,,,,2,31,15.5,0
Max,Minor,,,,,,,,,,3,24,8.0,0
Matt,Francis,,,,,,,,,,1,8,8.0,0
Jacob,Remmert,,,,,,,,,,0,0,0.0,0
