first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Wyatt,Block,15,96,6.4,1,,,,,,4,25,6.2,0
Hank,Kraft,10,51,5.1,0,,,,,,,,,
Daniel,Britt,7,17,2.4,0,12,22,131,0,1,,,,
Colton,Hackel,4,3,0.8,1,,,,,,,,,
Tom,Ellard,0,0,0.0,0,,,,,,,,,
Zach,Jorgensen,,,,,,,,,,1,53,53.0,0
Jacob,Van Landingham,,,,,,,,,,1,21,21.0,0
Tanner,Branson,,,,,,,,,,2,17,8.5,0
Ty,Wiley,,,,,,,,,,3,8,2.7,0
Cade,Kaiser,,,,,,,,,,1,7,7.0,0
Zach,Kraft,,,,,,,,,,0,0,0.0,0
