first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Evan,Lovett,18,77,4.3,1,,,,,,,,,
Carson,Chrisman,14,69,4.9,1,2,4,22,0,0,,,,
Tyson,Ruzicka,9,67,7.4,0,,,,,,,,,
Erik,Palmquist,2,16,8.0,0,,,,,,,,,
Sam,Buckhanan,6,14,2.3,0,,,,,,,,,
Tyler,Stonebraker,3,6,2.0,0,,,,,,,,,
Jonathan,Noriega,1,2,2.0,0,,,,,,2,34,17.0,1
Aaron,Wood,1,2,2.0,0,1,1,24,1,0,,,,
Damon,Darling,,,,,,,,,,1,12,12.0,0
Aiden,George,,,,,,,,,,0,0,0.0,0
