first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jayden,Washington,14,68,4.9,0,,,,,,2,5,2.5,1
Justin,Incaprera,5,10,2.0,0,,,,,,,,,
Jarrett,Gronski,4,9,2.3,0,,,,,,,,,
Jake,Gannon,0,0,0.0,0,,,,,,,,,
Sam,McGath,11,-2,-0.2,0,17,28,169,2,1,0,0,0.0,0
Brice,Peters,,,,,,,,,,4,70,17.5,0
Drayton,Lehman,,,,,,,,,,7,59,8.4,0
Aundreus,Griffin,,,,,,,,,,2,27,13.5,1
Kaleb,Miller,,,,,,,,,,2,8,4.0,0
Clayton,Birdsall,,,,,,,,,,0,0,0.0,0
