first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jackson,Flottmeyer,17,87,5.1,0,13,18,107,1,0,,,,
Josh,Buri,9,80,8.9,1,,,,,,,,,
Cair'ron,Hendred,7,62,8.9,0,,,,,,,,,
Ty,Gavin,8,57,7.1,1,,,,,,1,1,1.0,0
Quentin,Pringle,3,2,0.7,0,,,,,,,,,
Joe,Sikma,,,,,1,1,25,1,0,2,16,8.0,0
Sylvere,Campbell,,,,,,,,,,6,77,12.8,1
Cayden,Holcomb,,,,,,,,,,3,28,9.3,1
Maurice,Densmore,,,,,,,,,,2,10,5.0,0
Jonathan,Mann,,,,,,,,,,0,0,0.0,0
