first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Tyson,Brandt,4,17,4.3,0,,,,,,,,,
Tommy,Falk,1,14,14.0,0,2,7,10,0,0,,,,
Owen,Wiersma,3,6,2.0,0,,,,,,,,,
Jack,Strand,8,3,0.4,0,24,43,220,1,2,,,,
Fynn,Ridgeway,1,0,0.0,0,,,,,,2,14,7.0,0
Gage,Florence,,,,,,,,,,7,66,9.4,0
Luke,Imdieke,,,,,,,,,,8,42,5.2,1
Brady,Perryman,,,,,,,,,,2,41,20.5,0
Carson,Elbert,,,,,,,,,,2,32,16.0,0
Madden,Thorson,,,,,,,,,,3,25,8.3,0
Kelly,Johnson,,,,,,,,,,1,6,6.0,0
JD,Czech,,,,,,,,,,1,4,4.0,0
Payton,Longmeyer,,,,,,,,,,0,0,0.0,0
